RegionName,StateName,SizeRank,2017_avg,2017_std,2018_avg,2018_std
75035,Texas,171,329100,11238.62388,348450,5838.364497
20001,District of Columbia,172,621825,31063.54039,623860,13567.40211
33063,Florida,173,153308.3333,8389.125732,170660,8875.043662
33064,Florida,174,179500,12108.88104,197160,5640.602805
33311,Florida,175,148291.6667,10009.4504,175210,10155.14155
32174,Florida,176,220158.3333,11936.18157,235277.7778,3720.148676
2360,Massachusetts,177,321216.6667,14386.55816,345388.8889,16335.06416
30022,Georgia,178,341291.6667,12884.19305,375455.5556,7988.479359
23666,Virginia,179,160875,7739.091786,164366.6667,3414.674216
85705,Arizona,180,124491.6667,7161.175222,131750,2209.637979
20019,District of Columbia,181,258966.6667,9616.941071,294800,13574.75598
8831,New Jersey,182,236150,7197.626924,288466.6667,22681.95563
90025,California,183,887308.3333,21972.50017,954230,62870.85255
44077,Ohio,184,142475,7494.456284,139933.3333,5771.000298
91710,California,185,444866.6667,13842.04545,488620,16766.97945
20147,Virginia,186,434258.3333,9856.593253,450060,6113.951259
94544,California,187,568141.6667,24106.03169,654177.7778,19735.79814
60616,Illinois,188,310233.3333,8952.591183,302440,5092.386474
19124,Pennsylvania,189,70375,8057.618031,80155.55556,5473.595428
43228,Ohio,190,129916.6667,4535.201821,131790,10018.62765
33313,Florida,191,68341.66667,4515.059677,79450,7307.427728
30004,Georgia,192,337383.3333,18327.52181,361366.6667,22997.43947
30127,Georgia,193,184058.3333,6772.795869,197122.2222,7135.011917
35242,Alabama,194,314491.6667,10792.70265,323350,21124.16862
29730,South Carolina,195,134983.3333,5845.344776,149066.6667,6632.411996
75150,Texas,196,150950,4819.66458,169833.3333,2476.108057
91335,California,197,488233.3333,16414.54301,521470,14282.09018
93727,California,198,240725,5955.966896,269730,7989.249026
29464,South Carolina,199,409008.3333,34078.45014,442411.1111,15815.70559
43068,Ohio,200,155091.6667,6826.841428,165220,6048.107142
37128,Tennessee,201,214475,5963.517558,234266.6667,14900.93211
32225,Florida,202,206383.3333,5945.843553,228330,7272.282998
27284,North Carolina,203,160258.3333,7307.468592,168610,4143.054429
63123,Missouri,204,143991.6667,3255.113499,150020,4014.174884
85251,Arizona,205,270700,17933.72057,270020,9108.655225
60622,Illinois,206,449800,5351.323824,470580,6925.720179
93536,California,207,316658.3333,9479.755476,351820,7576.51635
93550,California,208,238066.6667,7598.610984,259930,4345.123704
33319,Florida,209,97541.66667,6816.946816,102650,7286.734522
73160,Oklahoma,210,130683.3333,6399.457442,140677.7778,1932.630779
77007,Texas,211,384691.6667,5488.542359,388030,5895.091178
94509,California,212,369991.6667,14071.51131,394188.8889,9565.963324
32828,Florida,213,270166.6667,3396.403326,280600,3496.283741
89123,Nevada,214,257250,13154.18184,285066.6667,14743.58618
7087,New Jersey,215,331908.3333,26210.85838,358820,32511.89936
30135,Georgia,216,153875,3202.115186,174588.8889,8063.697035
93535,California,217,218758.3333,9148.17453,248360,7526.513137
23451,Virginia,218,366241.6667,12275.14143,382920,11979.88314
14221,New York,219,227750,12260.47171,235210,8286.911367
19446,Pennsylvania,220,276833.3333,9798.582664,275388.8889,7158.436273
98682,Washington,221,291141.6667,6328.830636,317770,7093.243264
89031,Nevada,222,212491.6667,8517.869289,248200,7236.635191
94122,California,223,1304883.333,108100.5692,1447644.444,54379.28754
21122,Maryland,224,272416.6667,9277.28708,290422.2222,4731.402841
78249,Texas,225,193816.6667,4448.189394,210760,8574.287142
33321,Florida,226,166333.3333,11707.49997,186780,6607.995157
95758,California,227,355858.3333,11876.05843,387900,5880.81627
37064,Tennessee,228,423616.6667,9467.385536,441370,21121.31861
60641,Illinois,229,279516.6667,10049.36427,294170,8376.640138
75043,Texas,230,184758.3333,6627.651461,195533.3333,2310.844002
2301,Massachusetts,231,251441.6667,9778.927884,277888.8889,6211.717323
14580,New York,232,209933.3333,9223.550774,190555.5556,13323.42224
19020,Pennsylvania,233,235766.6667,6834.634023,246250,7046.027249
19120,Pennsylvania,234,75550,6937.879119,76933.33333,3139.355914
29445,South Carolina,235,173366.6667,4106.566557,180890,6040.438726
33467,Florida,236,239875,12463.0203,257422.2222,14320.3645
93307,California,237,172041.6667,5327.359936,180700,5737.813172
95035,California,238,872941.6667,49929.60809,1054310,35803.28058
77521,Texas,239,168800,4680.989924,187680,5019.920318
85282,Arizona,240,246375,4882.81425,259560,3728.860416
22204,Virginia,241,444133.3333,15014.40049,434260,10522.75629
20874,Maryland,242,278291.6667,4615.997244,285022.2222,5903.441139
93309,California,243,182975,5495.926522,198580,4161.682352
37122,Tennessee,244,289766.6667,7278.659828,315770,8295.305902
75002,Texas,245,275225,5418.506098,287177.7778,5999.032844
92630,California,246,630716.6667,10108.56348,703080,42630.43045
94541,California,247,558300,17828.86237,610388.8889,17809.82528
60056,Illinois,248,278600,12721.70062,287230,9117.680626
29223,South Carolina,249,118966.6667,6969.6166,124555.5556,11959.57182
98133,Washington,250,500758.3333,31736.79406,550600,9896.80083
33157,Florida,251,289508.3333,10525.16495,319825,8224.620052
32246,Florida,252,166775,10644.41364,176210,7691.482302
29681,South Carolina,253,230225,3422.018167,241700,4672.139648
94538,California,254,827025,54618.87838,974855.5556,17216.66577
85142,Arizona,255,278541.6667,20935.15617,284340,10026.08598
28216,North Carolina,256,145616.6667,5666.397052,163760,5100.431354
60085,Illinois,257,106283.3333,6120.843261,121500,7162.12259
37167,Tennessee,258,188241.6667,9770.231858,212944.4444,12932.05416
32792,Florida,259,211066.6667,10392.25139,225920,8522.652169
20020,District of Columbia,260,264200,17091.32333,286440,10021.19753
90631,California,261,520775,22235.0371,560470,12155.24989
99208,Washington,262,226408.3333,9449.026258,254990,6437.616018
30909,Georgia,263,131533.3333,4507.462947,143288.8889,7108.436997
37066,Tennessee,264,232575,13252.36614,248755.5556,2560.864052
92647,California,265,697666.6667,18536.7353,733920,13663.44027
98122,Washington,266,656208.3333,47546.459,762790,15835.11604
30906,Georgia,267,58575,5113.075558,61987.5,3573.666709
29485,South Carolina,268,199666.6667,6258.771622,211440,3718.924576
15301,Pennsylvania,269,134300,9809.434234,149612.5,11463.46779
33511,Florida,270,185266.6667,7573.455105,198433.3333,5252.512626
85345,Arizona,271,188291.6667,6194.413926,202610,2010.198995
94513,California,272,558316.6667,19890.65247,598033.3333,16018.94711
6516,Connecticut,273,154908.3333,5125.50133,167955.5556,7118.693874
70726,Louisiana,274,145208.3333,18434.49929,162155.5556,2588.912732
92104,California,275,485641.6667,58386.66312,573200,27255.82507
87124,New Mexico,276,183141.6667,7578.308775,185488.8889,5739.423983
97045,Oregon,277,368333.3333,8664.518965,397740,8364.472488
78251,Texas,278,186666.6667,4340.186888,190170,3009.667756
92115,California,279,462983.3333,15169.80737,478050,13529.98522
30263,Georgia,280,161358.3333,6142.944236,180977.7778,14564.0179
63129,Missouri,281,205600,8891.194146,211220,6631.410106
32765,Florida,282,265550,8318.703825,290060,8103.974334
85204,Arizona,283,203166.6667,5720.18842,216710,7817.601934
1960,Massachusetts,284,369733.3333,20785.9862,403366.6667,14562.81414
21224,Maryland,285,212016.6667,8674.659776,204460,11500.71302
